group,reading,freq,source
𓀜𓅝𓏏􄾽,nḫt-ḏḥwty,1,Ramses
𓀜𓅱,mnꞽ.w,1,AES
𓀜𓆍𓇋𓀀,nḫt-sbk,3,Ramses
𓀜𓇋𓇋,ḥwi,1,AES
𓀜𓇋𓏠𓈖𓀀,nḫt-ꞽmn,11,Ramses
𓀜𓇋𓏠𓈖󼶫󼶫󼶫,nḫt-ꞽmn,1,Ramses
𓀜𓇋𓏭𓀀,nḫt,1,Ramses
𓀜𓇋󼶫󼶫𓀜,mnꞽw,4,Ramses
𓀜𓇓𓏲,nḫt-sw,2,Ramses
𓀜𓇓𓏲𓀀,nḫt-sw,16,Ramses
𓀜𓇓𓏲􄾽,nḫt-sw,1,Ramses
𓀜𓈖,ꞽṯꞽ.n,1,Ramses
𓀜𓈖𓏭𓂋𓁷𓏤,ḥr-n-ḥr,1,Ramses
𓀜𓊤,nḫt-ḫrw,1,AES
𓀜𓋉𓊾,nḫt-mnw,2,Ramses
𓀜𓋉𓊾𓀀,nḫt-mnw,12,Ramses
𓀜𓋉𓊾𓇋,nḫt-mnw,1,Ramses
𓀜𓋉𓊾𓇋𓀀,nḫt-mnw,24,Ramses
𓀜𓋉𓊾𓇋𓀀􄾽,nḫt-mnw,1,Ramses
